port_number,name,unit,active,display,range_min,range_max,thresh_min,thresh_max,time,formula_number
0,Temperature,Celsius,t,t,0,100,-3.4028234663852886e+38,3.4028234663852886e+38,2024-12-01 12:28:40,24
1,Dissolved Oxygen,mg/L,t,t,0,20,3,10,2024-12-01 10:51:37,25
2,pH,pH,t,t,0,14,0,14,2024-12-01 11:14:42,26
3,Salinity,PSU,t,t,0,100,-3.4028234663852886e+38,3.4028234663852886e+38,2024-12-01 00:20:00,27
4,Light Intensity,Lux,t,t,0,150000,-3.4028234663852886e+38,3.4028234663852886e+38,2024-12-01 00:20:00,28
5,PORT5,UNIT5,f,f,0,100,-3.4028234663852886e+38,3.4028234663852886e+38,2024-12-01 09:49:26,0
6,PORT6,UNIT6,f,f,0,100,-3.4028234663852886e+38,3.4028234663852886e+38,2024-12-01 09:29:59,0
7,PORT7,UNIT7,f,f,0,100,-3.4028234663852886e+38,3.4028234663852886e+38,2024-12-01 00:20:00,0
